id,severity,class,domain,title,status,evidence,reproduction,impact,recommendation,verification
"SC-AUD-012","Medium","confirmed-defect","Parking","Normalized plate is not populated when parking reservations are created via webhook","open","docs/audit/2026-06-14/workflows-parking-lodging.md#sc-aud-012: webhook handler does not compute or set normalized_plate.","Send a parking reservation webhook and check normalized_plate in the database.","Database queries relying on normalized_plate will miss webhook-created records.","Populate normalized_plate during webhook upserts.","normalized_plate is successfully saved with normalized value on webhook creation."
"SC-AUD-013","Low","maintainability","Parking / Lodging","Reservation status fields in Filament resources are free-form text inputs","open","docs/audit/2026-06-14/workflows-parking-lodging.md#sc-aud-013: status field is a TextInput in reservation forms.","Type any invalid text string into the status field of a reservation in Filament and save.","Inconsistent data states, typos in statuses prevent observers and review scripts from executing.","Replace TextInput fields with Select dropdowns referencing defined status enums/options.","Status fields are select dropdowns and restrict save to valid options only."
"SC-AUD-014","High","confirmed-defect","Vehicle rental","Rental contracts and maintenance records permit overlapping vehicle allocations","open","docs/audit/2026-06-14/workflows-rental-finance.md#sc-aud-014: RentContract and RentMaintenance schemas lack date overlap validations.","Create two overlapping contracts or maintenance records for Vehicle A in Filament.","Double-allocation of vehicles, contract codes conflicts, and scheduling clashes.","Implement form validations checking for overlapping active bookings or maintenance windows."," Filament form blocks saving and throws an error on overlapping rental periods."
"SC-AUD-015","Medium","confirmed-defect","Budget and Telegram","Telegram bot finalizes transactions without database transaction wrapping","open","docs/audit/2026-06-14/workflows-rental-finance.md#sc-aud-015: ProcessIncome/ProcessExpense Telegram actions write messages and transactions separately.","Simulate database constraint error during transaction save on the final bot step.","Orphaned raw messages saved in the database without linked budget transactions.","Wrap Telegram raw message log and budget transaction creation in a DB::transaction block.","Database changes are cleanly rolled back if saving a transaction fails."
"SC-AUD-016","Low","security-risk","Scheduling","Upload action on Ordinea de Zi page lacks file size limits","open","docs/audit/2026-06-14/workflows-scheduling-messaging-marketing.md#sc-aud-016: schedule_pdf FileUpload field has no maxSize constraint.","Upload a massive PDF file (e.g. 50MB) to the schedule import form in Filament.","Risk of server memory exhaustion and denial-of-service (DoS) during parsing.","Add a size limit constraint (e.g. ->maxSize(5120)) to the FileUpload form field.","Filament blocks uploading files larger than the specified size limit."
"SC-AUD-017","Low","maintainability","Messaging and automation","Unresolved placeholders in message templates are sent raw to customers","open","docs/audit/2026-06-14/workflows-scheduling-messaging-marketing.md#sc-aud-017: RenderMessageTemplate has no checks for unresolved placeholders.","Trigger a message dispatch where a placeholder is omitted in the data payload.","Literal placeholder strings (e.g. {{name}}) are sent in notifications, looking unprofessional.","Validate that all placeholders are replaced, or strip unresolved variables before queueing.","Messages are queued with unresolved placeholders removed or flagged."
"SC-AUD-018","Low","documentation-gap","Marketing","The Marketing domain contains no active business workflows (CRUD only)","open","docs/audit/2026-06-14/workflows-scheduling-messaging-marketing.md#sc-aud-018: Marketing resources lack observers, commands, or integration actions.","Verify that creating a campaign or ad spend log has no automated side effects or external links.","Operational misalignment. Staff may expect automatic ad cost synchronization or campaign dispatch.","Document clearly that the marketing domain is storage-only, or design integrations in future phases.","The README or operations document notes that marketing is CRUD-only."
"SC-AUD-019","High","test-gap","System","Lack of concurrency and race condition test coverage","open","docs/audit/2026-06-14/test-traceability.md#sc-aud-019","Execute webhook handlers or Telegram sessions in parallel.","Undetected race conditions and concurrency conflicts on resources.","Implement concurrency tests using multi-threading or lock checks.","Concurrency tests exit 0."
"SC-AUD-020","Medium","test-gap","System","Missing negative path validation tests for API Webhooks","open","docs/audit/2026-06-14/test-traceability.md#sc-aud-020","Send malformed or extreme payloads to API endpoints.","Risk of unhandled crashes, SQL errors, or validation bypasses in production.","Add test cases validating response behaviors for malformed inputs.","Negative path tests exit 0."
"SC-AUD-021","Medium","test-gap","System","Missing automated tests for auto-generated audit logs","open","docs/audit/2026-06-14/test-traceability.md#sc-aud-021","Mutate reservation statuses and observe audit table results.","Status updates lack automated audit-trail guarantees.","Write tests verifying automated audit-trail generation upon model saves.","Audit-trail creation tests pass automatically."
"SC-AUD-022","Low","test-gap","Scheduling","Absence of validation failure testing for PDF scheduler parser","open","docs/audit/2026-06-14/test-traceability.md#sc-aud-022","Upload invalid or corrupted PDF schedules to the scheduler action.","Failed parses can result in partially imported schedules and database corruption without warning.","Add test assertions checking scheduler's handling of invalid schedules.","Invalid PDF tests fail gracefully with rollback verification."
"SC-AUD-023","Critical","operational-gap","System","Missing automated queue worker daemon","open","docs/audit/2026-06-14/operations.md#sc-aud-023","Queue a job and observe that it remains in the jobs table without executing.","Queued jobs (e.g. email and SMS notifications) are never executed unless run manually.","Add a queue worker service container to docker-compose.yml.","Queued jobs execute automatically."
"SC-AUD-024","High","operational-gap","System","CLI server php artisan serve used for application delivery","open","docs/audit/2026-06-14/operations.md#sc-aud-024","Inspect Dockerfile web server CMD.","Bottlenecks and crashes under concurrent load in production.","Transition to FrankenPHP, Swoole, RoadRunner, or Nginx + PHP-FPM.","Production server is stable under concurrent load test."
"SC-AUD-025","Medium","operational-gap","System","Missing scheduled task runner","open","docs/audit/2026-06-14/operations.md#sc-aud-025","Verify lack of schedule runner in docker-compose.yml.","Scheduled tasks will not trigger automatically.","Add a cron daemon or scheduler container executing php artisan schedule:run.","Scheduled tasks trigger at their defined cron interval."
"SC-AUD-026","Low","maintainability","System","Log retention is configured to grow infinitely","open","docs/audit/2026-06-14/operations.md#sc-aud-026","Inspect config/logging.php default stacked single log path.","Disk exhaustion over time due to unbounded laravel.log file size.","Configure daily log rotation or external log shipper.","Logs rotate daily and old logs are automatically pruned."
"SC-AUD-027","Medium","operational-gap","System","No automated DB backup pipeline","open","docs/audit/2026-06-14/operations.md#sc-aud-027","Verify lack of backup schedule or script.","Potential permanent data loss in event of docker volume corruption or server failure.","Implement automated database backup task uploaded to secure offsite storage.","Backup file is successfully generated and verified daily."


