component_type,domain,path_or_route,responsibility,entry_point,dependencies,side_effects,authorization,test_evidence,status
"route","Lodging","GET|HEAD admin/cazare-camere/create","Filament create page for the owning resource","App\Filament\Resources\Rooms\Pages\CreateRoom","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-camere/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\Rooms\Pages\EditRoom","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-proprietati","Filament list page for the owning resource","App\Filament\Resources\LodgingProperties\Pages\ListLodgingProperties","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-proprietati/create","Filament create page for the owning resource","App\Filament\Resources\LodgingProperties\Pages\CreateLodgingProperty","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-proprietati/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\LodgingProperties\Pages\EditLodgingProperty","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-rezervari","Filament list page for the owning resource","App\Filament\Resources\LodgingReservations\Pages\ListLodgingReservations","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-rezervari/create","Filament create page for the owning resource","App\Filament\Resources\LodgingReservations\Pages\CreateLodgingReservation","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Lodging","GET|HEAD admin/cazare-rezervari/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\LodgingReservations\Pages\EditLodgingReservation","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Api/AutomationLodgingReservationWebhookTest.php; tests/Feature/Panel/Lodging*; tests/Feature/Schema/LodgingSchemaTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-calendar","Filament list page for the owning resource","App\Filament\Resources\MarketingContentCalendar\Pages\ListMarketingContentCalendars","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-calendar/create","Filament create page for the owning resource","App\Filament\Resources\MarketingContentCalendar\Pages\CreateMarketingContentCalendar","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-calendar/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\MarketingContentCalendar\Pages\EditMarketingContentCalendar","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-campanii","Filament list page for the owning resource","App\Filament\Resources\MarketingCampaigns\Pages\ListMarketingCampaigns","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-campanii/create","Filament create page for the owning resource","App\Filament\Resources\MarketingCampaigns\Pages\CreateMarketingCampaign","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-campanii/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\MarketingCampaigns\Pages\EditMarketingCampaign","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-canale","Filament list page for the owning resource","App\Filament\Resources\MarketingChannels\Pages\ListMarketingChannels","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-canale/create","Filament create page for the owning resource","App\Filament\Resources\MarketingChannels\Pages\CreateMarketingChannel","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Persists resource record through Filament form","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-canale/{record}/edit","Filament edit page for the owning resource record","App\Filament\Resources\MarketingChannels\Pages\EditMarketingChannel","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","Updates resource record through Filament form; model observers may run","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
"route","Marketing","GET|HEAD admin/marketing-cheltuieli","Filament list page for the owning resource","App\Filament\Resources\MarketingAdSpendLogs\Pages\ListMarketingAdSpendLogs","Filament\Http\Middleware\SetUpPanel:admin; Illuminate\Cookie\Middleware\EncryptCookies; Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse; Illuminate\Session\Middleware\StartSession; Illuminate\View\Middleware\ShareErrorsFromSession; Filament\Http\Middleware\Authenticate; Filament\Http\Middleware\AuthenticateSession; Illuminate\Foundation\Http\Middleware\VerifyCsrfToken; Illuminate\Routing\Middleware\SubstituteBindings; Filament\Http\Middleware\DisableBladeIconComponents; Filament\Http\Middleware\DispatchServingFilamentEvent","No direct side effect identified from route declaration","Filament authenticated user; resource/page canAccess where defined","tests/Feature/Marketing; tests/Feature/Marketing/MarketingResourcesAccessTest.php",mapped
